Date,City,Lat,Lon,Country,Metric,Type,Value,Prev,Prev Date,Scope,Since,Elevation,WMO
2025-12-30,Darbhanga,,,India,Max Temp,Low,13.5,13.8,2025-12-28,Month,1969-01-01,49,42391
2025-12-30,Malda,,,India,Max Temp,Low,15.2,15.6,2012-12-23,Month,1969-01-01,31,42503
2025-12-30,Sabour,,,India,Max Temp,Low,14,14.2,2019-12-24,Month,1969-01-01,37,42499
2025-12-29,Bhagalpur,,,India,Max Temp,Low,14.6,14.9,1998-12-30,Month,1969-01-01,49,42498
2025-12-28,Darbhanga,,,India,Max Temp,Low,13.8,14.1,1998-12-30,Month,1969-01-01,49,42391
2025-12-28,Kanpur,,,India,Max Temp,Low,14.3,14.4,2004-12-26,Month,1969-01-01,125,42366
2025-12-28,Supaul,,,India,Max Temp,Low,14.2,16.1,2025-12-22,Month,1969-01-01,50,42393
2025-12-22,Supaul,,,India,Max Temp,Low,16.1,16.2,2023-12-31,Month,1969-01-01,50,42393
2025-12-18,Kottayam,,,India,Max Temp,High,36.6,36.5,1970-12-11,Month,1970-01-01,76,43355
2025-12-15,Madurai (city),,,India,Min Temp,Low,16.2,16.7,1920-12-05,Month,1891-01-01,133,43359
2025-12-15,Solan (Nauni),,,India,Max Temp,High,28.5,27,2007-12-24,Month,1981-01-01,1256,42106
2025-12-12,Dharwad,,,India,Min Temp,Low,8.5,9,2005-12-17,Month,2004-01-01,686,43200
2025-12-12,Dharwad,,,India,Min Temp,Low,8.5,13,,Year,2004-01-01,686,43200
2025-12-12,Gadag,,,India,Min Temp,Low,9.8,9.9,2010-12-24,Month,1950-01-01,650,43201
2025-11-29,Ariyalur,,,India,Max Temp,Low,22.8,23,1985-11-05,Month,1977-01-01,76,43324
2025-11-29,Kanyakumari,,,India,Min Temp,Low,17.2,20.1,1967-11-30,Month,1961-01-01,37,43377
2025-11-29,Kanyakumari,,,India,Min Temp,Low,17.2,18.6,1993-07-27,Year,1961-01-01,37,43377
2025-11-29,Madurai (AP),,,India,Max Temp,Low,22.6,23.8,2005-11-25,Month,1969-01-01,131,43360
2025-11-29,Madurai (city),,,India,Max Temp,Low,21.4,22,1992-11-17,Month,1969-01-01,133,43359
2025-11-29,Madurai (city),,,India,Max Temp,Low,21.4,22,1992-11-17,Year,1969-01-01,133,43359
2025-11-29,Palayamkottai,,,India,Max Temp,Low,22,24.9,1979-11-08,Month,1969-01-01,51,43376
2025-11-29,Palayamkottai,,,India,Max Temp,Low,22,22.5,1970-12-15,Year,1969-01-01,51,43376
2025-11-29,Pamban,,,India,Max Temp,Low,23.2,25,1970-11-29,Month,1969-01-01,11,43363
2025-11-29,Pamban,,,India,Max Temp,Low,23.2,23.5,1983-12-23,Year,1969-01-01,11,43363
